Afrikaans	Bengali	Czech	Danish	English	Esperanto	Finnish	Georgian	Hebrew	Italian	Portuguese	Russian	Swahili
			s p r o g v i d e n s k a b e l i g	l i n g u i s t i c		k i e l i t i e t e e l l i n e n		ל ִ י נ ְ ג ְ ּ ו ִ י ס ְ ט ִ י	l i n g u i s t i c o	l i n g u í s t i c o	я з ы к о в е ́ д ч е с к и й	
			æ t	f a m i l y				מ ש פ ח ה		f a m í l i a	с е м ь я ́	
				K h i t a n							к и д а ́ н ь	
				v e r l a n					v e r l a n	v e r l a n	в е р л а ́ н	
				i s c h i a t i c							и ш и а ́ с н ы й	
				t e n d		t a r j o t a			a p p a l t a r e		п р е д л о ж и ́ т ь	
				n o t   k n o w   w h i c h   e n d   i s   u p		o l l a   i h a n   p i h a l l a					н е   з н а т ь ,   ч т о   к   ч е м у ́	
				t i n n e d							з а л у ́ ж е н н ы й	
		z p á t e č n í   j í z d e n k a	r e t u r b i l l e t	r e t u r n   t i c k e t		m e n o p a l u u l i p p u			b i g l i e t t o   d i   a n d a t a   e   r i t o r n o	v o l t a	б и л е ́ т   т у д а ́   и   о б р а ́ т н о	
				p s y c h o p a t h o l o g i c a l						p s i c o p a t o l ó g i c o		
				e n t r e p r e n e u r s h i p		y r i t t ä j y y s				e m p r e e n d e d o r i s m o	п р е д п р и н и м а ́ т е л ь с т в о	
				i n k					i n c h i o s t r a r e	e n t i n t a r		w i n o
		e t a n		e t h a n e	e t a n o	e t a a n i			e t a n o	e t a n o	э т а ́ н	
				c a n d l e   i n   t h e   w i n d		k o r t t i t a l o						
			M a s e r u	M a s e r u	M a s e r u o				M a s e r u	M a s e r u	М а с е ́ р у	
				q u i n o p r o t e i n					c h i n o p r o t e i n a			
				a m y l   n i t r a t e		a m y y l i n i t r a a t t i						
				w o l f i s h		p e t o m a i n e n						
		k a š u b s k ý   j a z y k	k a s j u b i s k	K a s h u b i a n	k a ŝ u b a	k a š u b i			c a s c i u b i c o	p o m e r a n o	к а ш у ́ б с к и й	
				l o g b o o k		l a i v a p ä i v ä k i r j a		י ו מ ן   כ ל י   ש י ט	g i o r n a l e   d i   b o r d o	d i á r i o   d e   b o r d o		
				B y z a n t i n e   G r e e k					g r e c o   m e d i o e v a l e		с р е д н е г р е ́ ч е с к и й   я з ы ́ к	
				s c u d		k i i t o						
				o ' c l o c k	l a   u n u a	y k s i			i n   p u n t o		ч а с	
		k o p a		m o u n t a i n		k a s a	უ ა მ რ ა ვ ი			m o n t e	к у ́ ч а	m l i m a
		a d   h o c	a d   h o c	a d   h o c	s p e c i a l c e l a	v a r t e n	ს ა გ ა ნ გ ე ბ ო	א ד   ה ו ק	a d   h o c	a d   h o c	а д   х о к	
		s l o u p e c		c o l u m n	k o l u m n o	s a r a k e			c o l o n n a	c o l u n a	с т о л б е ́ ц	
				h y d r o s u l f u r o u s					i d r o s o l f o r o s o			
				n i t r e n e		n i t r e e n i				n i t r e n o		
				t h r e e - p h a s e		k o l m i v a i h e i n e n						
				a m p h e t a m i n i s m						a n f e t a m i n i s m o		
	ন ি ম ্ ফ ে			l a b i a   m i n o r a		p i e n e t   h ä p y h u u l e t		ש פ ת י י ם   ק ט נ ו ת	p i c c o l e   l a b b r a	l á b i o s   m e n o r e s	м а ́ л ы е   п о л о в ы ́ е   г у ́ б ы	
				a n t i c h a r m						a n t i c h a r m e		
				c r e e p y		k a r m i v a				h o r r i p i l a n t e	в ы з ы в а ́ ю щ и й   м у р а ́ ш к и	
	ব ো র ্ ন ্ ‌ ম া থ			B o u r n e m o u t h			ბ ო რ ნ მ უ თ ი	ב ו ר נ מ ו ת ׳			Б о ́ р н м у т	
		k o s t l i v e c		s k e l e t o n		l u u r a n k o				e s q u e l e t o	к о ́ ж а   д а   к о ́ с т и	
				h e d g e		s u o j a t a						
				f i n g e r				מ ז ח				
				d e a r h e a r t		k u l t a n e n						
				c o h a b i t a t i o n		a v o l i i t t o					с о ж и ́ т е л ь с т в о	
		h l a v n í   d i a g o n á l a		m a i n   d i a g o n a l		p ä ä l ä v i s t ä j ä			d i a g o n a l e   p r i n c i p a l e	d i a g o n a l   p r i n c i p a l	г л а ́ в н а я   д и а г о н а ́ л ь	
				a c c r e t i o n a r y						a c r e c i o n a l		
				p r e p o s i t i o n a l   a r t i c l e					p r e p o s i z i o n e   a r t i c o l a t a	p r e p o s i ç ã o   c o n t r a í d a	с о ч л е н ё н н ы й   п р е д л о ́ г	
			m o d u l a t i o n	m o d u l a t i o n							м о д у л я ́ ц и я	
				I b e r i a n					i b e r i c o			
				t a p		n a p a u t u s					п р и к о с н о в е н и е	
		s p l í n		s p l e e n		s a p p i				e s p l i m	у н ы ́ н и е	
				s p o o n - f e e d		v ä ä n t ä ä   r a u t a l a n g a s t a				m a s t i g a r	р а з ж ё в ы в а т ь	
				A r t a						A r t a		
				s t r o k e		s t r o k e						
			n i p p e	s i p		s i e m a i l l a			s o r b i r e	s o r v e r	п р и г у б и ́ т ь	
		s l e t		g a t h e r i n g		t a p a a m i n e n	კ რ ე ბ ა		r a d u n o	e n c o n t r o	в с т р е ́ ч а	
				s l i p		l i v a h t a a			s c i v o l a r e			
		k ý č o v i t ý		k i t s c h		k r u u s a t t u				k i t s c h		
				a r b o r   D i a n a e						á r v o r e   d e   D i a n a		
				a c c e s s o r i z e						a c e s s o r i z a r		
				c l e a r   a s   m u d		l ä p i n ä k y m ä t ö n						
		u z d a		r e i n		s u i t s e t	ა ღ ვ ი რ ი		r e d i n e	r é d e a	у з д а ́	
				w a l k   t h e   d o g	p r o m e n i g i   l a   h u n d o n							
		r e l a t i v i s t i c k ý		r e l a t i v i s t i c							р е л я т и в и с т и ́ ч е с к и й	
				C i n c i n n a t i		C i n c i n n a t i	ც ი ნ ც ი ნ ა ტ ი	ס י נ ס י נ ט י		C i n c i n a t i	Ц и н ц и н н а т и	
b a k s t e e n	ই ট	c i h l a	m u r s t e n	b r i c k	b r i k o	t i i l i	ა გ უ რ ი	ל ְ ב ֵ נ ָ ה	l a t e r i z i o	t i j o l o	к и р п и ́ ч	t o f a l i
				d o n n a					d o n n a			
				b i o t e c h n o l o g y		b i o t e k n i i k k a			b i o t e c n o l o g i a	b i o t e c n o l o g i a		
				d r a m a t i c a l l y		d r a a m a l l i s e s t i			s e n s a z i o n a l m e n t e			
				A m e r i c a n		a m e r i k k a			i n g l e s e   a m e r i c a n o	i n g l ê s   a m e r i c a n o	а м е р и к а ́ н с к и й   а н г л и ́ й с к и й	
				p i c k y		n i r s o			s c h i z z i n o s o	e x i g e n t e	п р и в е р е ́ д л и в ы й	
				p u t t e r   a r o u n d						f i c a r   d e   e n r o l a ç ã o		
		n e p o z n a t e l n o s t		u n k n o w a b i l i t y								
				b o t t l e   s e d g e		p u l l o s a r a					о с о ́ к а   в з д у ́ т а я	
		b r a n k o v i š t ě		p e n a l t y   a r e a								
	র া ম	R á m a		R a m a		R a m a				R a m a	Р а ́ м а	
			o v e r v e j e	r e a s o n		j ä r k e i l l ä			r a g i o n a r e	r a c i o c i n a r	р а с с у ж д а ́ т ь	
				o r g u l o u s		k o p p a v a			f i e r o	o r g u l h o s o	г о ́ р д ы й	
				a b y s s		s y d ä n k o h t a						
				p e e p s h o w							п и п - ш о ́ у	
				W i s c o n s i n i t e		- l a i n e n			a b i t a n t e			
		s a m e c		m a l e		u r o s	მ ა მ რ ი	ז ָ כ ָ ר	m a s c h i o	v a r ã o	с а м е ́ ц	k i u m e
				e l e m e n t		t u n n u s m e r k k i			e l e m e n t o			e l e m e n t i
				d i a p h r a g m		h i m m e n t ä ä						
				F i n g l i s h		f i n g e l s k a						
				f r a m e   s t o r y		k e h y s k e r t o m u s					о б р а м л е ́ н и е	
				e n c h a n t r e s s		l u m o o j a t a r					ч а р о д е ́ й к а	
				f i n a n c e		f i n a n s s i o p p i		כ ס פ י ם		f i n a n ç a s	ф и н а ́ н с ы	
	ট া ন া	t a h a t	t r æ k k e	p u l l	t i r i	v e t ä ä	თ რ ე ვ ა		t i r a r e	t i r a r	т я г а ́ т ь	k u v u t a
			d i f f u s	d i f f u s e		h a j o t t a a				d i f u n d i r	р а с п р о с т р а н и ́ т ь	
				o p t i o n	b u t o n o	v a l i k k o						
				r o o f i n g							р у ́ ф е р с т в о	
				s a n d   d o l l a r					r i c c i o   d i   m a r e	b o l a c h a - d a - p r a i a		
			k æ p h e s t	h o b b y   h o r s e		k e p p i h e v o n e n					к о н ё к	
				l o w		h i l j a a				b a i x o		
		j m e n o v a t e l	n æ v n e r	d e n o m i n a t o r	n o m a n t o	n i m i t t ä j ä	მ ნ ი შ ვ ნ ე ლ ი	מ ְ כ ַ נ ֶ ה		d e n o m i n a d o r	з н а м е н а ́ т е л ь	
				c o o l   d o w n		j ä ä h t y ä				e s f r i a r	о х л а д и ́ т ь с я	
				C e n t r a l   G r e e c e		K e s k i - K r e i k k a						
				o v e r c l e a n		y l i p u h d i s t a a						
			h a m m e r h a j	h a m m e r h e a d   s h a r k						t u b a r ã o - m a r t e l o		
				l a u g h i n g   f a l c o n	a k a ŭ a n o						с м е ю ́ щ и й с я   с о ́ к о л	
				C o p e r n i c a n		k o p e r n i k a a n i n e n						
		s á g a	s a g a	s a g a	s a g a o	s a a g a			s a g a	s a g a	с а ́ г а	
		z n a k	t e g n	c h a r a c t e r		k i r j o i t u s m e r k k i		ת ָ ּ ו	c a r a t t e r e	c a r á c t e r	и е р о ́ г л и ф	
				a p p r e h e n d e r						a p r e e n d e d o r		
		v z d u c h o l o ď	l u f t s k i b	d i r i g i b l e	a e r ŝ i p o	i l m a l a i v a		ס פ י נ ת   א ו ו י ר	a e r o n a v e	d i r i g í v e l	д и р и ж а ́ б л ь	
		s m í t k o		s p e c k		s u h r u			m a c c h i o l i n a	p o n t i n h o	п я т н ы ш к о	
		o v ě ř i t		v e r i f y		v e r i f i o i d a		ו י ד א		c o n s t a t a r	п р о в е ́ р и т ь	
		L u s a k a	L u s a k a	L u s a k a	L u s a k o	L u s a k a				L u s a k a	Л у с а ́ к а	
				s e t   f o r t h		e h d o t t a a						
				b l e a c h i n g   p o w d e r							х л о р н а я   и з в е с т ь	
				a n t h r o p o l a t r y						a n t r o p o l a t r i a		
				d e v o t i o n		o m i s t a u t u m i n e n			d e v o z i o n e	d e d i c a ç ã o	в е ́ р н о с т ь	
				P r o t o - I n d o - E u r o p e a n			წ ი ნ ა რ ე - ი ნ დ ო ე ვ რ ო პ ე ლ ი			p r o t o - i n d o - e u r o p e u	п р а и н д о е в р о п е ́ е ц	
				g o n f a l o n					g o n f a l o n e		г о н ф а н о ́ н	
		k o n v e n c e		c o n v e n t i o n		k o n v e n t i o		ש י ט ה   ר ש מ י ת		c o n v e n ç ã o	у с л о ́ в н о с т ь	
				u n d e r c o o k		a p u k o k k i						
		l i d s k o s t		h u m a n e n e s s								
				I t a l o -		i t a l i a l a i n e n			i t a l o -		и т а ́ л о -	
				c a n v a s b a c k		i s o p u n a s o t k a						
		d u s i t	k v æ l e	s u f f o c a t e	s u f o k i g i	t u k e h d u t t a a		ח נ ק		s u f o c a r	у д у ш и ́ т ь	
				c o r e   c o n s t i t u e n c y		y d i n k a n n a t t a j a k u n t a						
		s a n i t á ř	p o r t ø r	o r d e r l y		s a i r a a l a - a p u l a i n e n					с а н и т а ́ р к а	
				m o n u m e n t a l	m o n u m e n t a	m o n u m e n t a a l i n e n	შ თ ა მ ბ ე ჭ დ ა ვ ი					
		e x k a v á t o r	g r a v k o	e x c a v a t o r		k a i v i n k o n e	ე ქ ს კ ა ვ ა ტ ო რ ი	מ ַ ח ְ פ ֵ ּ ר	e s c a v a t o r e	e x c a v a d o r a	э к с к а в а ́ т о р	
				b r a c e					d o p p i e t t a			
				r a m m e d   e a r t h		m a a s e i n ä						
l o o d g i e t e r			b l i k k e n s l a g e r	p l u m b e r		p u t k i a s e n t a j a	მ ე წ ყ ა ლ ს ა დ ე ნ ე		i d r a u l i c o	e n c a n a d o r	с а н т е ́ х н и к	
			l e d e	d i r e c t	a l d i r e k t i	o h j a t a		נ י ה ל		d i r i g i r	у п р а в л я ́ т ь	
				c o m m u n i c a t i o n   s t u d i e s		t i e d o t u s o p p i	ს ა კ ო მ უ ნ ი კ ა ც ი ო   მ ე ც ნ ი ე რ ე ბ ა					
		T o j a m a		T o y a m a							Т о я ́ м а	
				p e n e t r a t i n g		v i i l t ä v ä						
				K i t t i ' s   h o g - n o s e d   b a t		s i a n k u o n o l e p a k k o						
				p r e d i l e c t i o n		m i e l t y m y s			p r e d i l e z i o n e	p r e d i l e ç ã o	п р е д р а с п о л о ́ ж е н н о с т ь	
				h e d o n i s t i c	h e d o n i s m a						г е д о н и с т и ́ ч е с к и й	
				a b r a s i v e		h i o m a - a i n e					а б р а з и ́ в	
				a n t h r o p i c   p r i n c i p l e		a n t r o o p p i n e n   p e r i a a t e				p r i n c í p i o   a n t r ó p i c o		
				m a s k		n a a m i o i n t i			m a s c h e r a	m á s c a r a	л и ч и ́ н а	
s n e e u		s n ě ž i t	s n e	s n o w	n e ĝ i	s a t a a   l u n t a	თ ო ვ ა		n e v i c a r e	n e v a r	с н е ж и ́ т ь	
				s h o p   s t e a l e r		m y y m ä l ä v a r a s						
				c l o s u r e		s u l k e u m a			c h i u s u r a	c l a u s u r a		
				m e g a p o d e		i s o j a l k a k a n a			m e g a p o d i o			
				I m a t r a		I m a t r a						
				b r e a s t		s y d ä n		ל ב		c o r a ç ã o	с е ́ р д ц е	k i f u a
				a n g i o g r a p h e r						a n g i o g r a f i s t a		
				j o t a						j o t a		
		p ř í m ý		d i r e c t	r e k t a	s u o r a			d i r e t t o	d i r e t o	п о с т о я ́ н н ы й	
				w i n e   c o o l e r		w i n e   c o o l e r						
		z r u š i t	a f s k a f f e	a b o l i s h	a b o l i	l o p e t t a a		ב י ט ל	a b o l i r e	s u p r i m i r	о т м е н и ́ т ь	
		k u s a d l o		m a n d i b l e		l e u k a r a a j a					м а н д и ́ б у л а	
				r e e d	a n ĉ o	l e h d y k k ä			a n c i a	p a l h e t a	я з ы ч о ́ к	
				c e r a m b y c i d					c e r a m b i c e			
		p o u ť		p i l g r i m a g e	p i l g r i m a d o	t o i v i o m a t k a			p e l l e g r i n a g g i o	r o m a r i a	п и л и г р и ́ м с т в о	
a n t i m o o n		a n t i m o n	a n t i m o n	a n t i m o n y	a n t i m o n o	a n t i m o n i	ს ტ ი ბ ი უ მ ი	א נ ט י מ ו ן	a n t i m o n i o	a n t i m ô n i o	с т и ́ б и у м	
				n e p h r e c t o m y					n e f r e c t o m i a			
	শ র ্ ট স	š o r t k y	s h o r t s	s h o r t s		s o r t s i t	შ ო რ ტ ე ბ ი	מ ִ כ ְ נ ָ ס ַ י ִ י ם   ק ְ צ ָ ר ִ י ם	c a l z o n c i n i	s h o r t	ш о ́ р т ы	k a p t u l a
				r e l i a n c e		r i i p p u v a i s u u s						
				p r o d					s t i m o l a r e	a g u i l h o a r	п о д с т р е к а ́ т ь	
		t o m i s m u s		T h o m i s m					t o m i s m o			
			u d e n   h e n s y n   t i l	h e e d l e s s					d i s a v v e d u t o			
				r e p r o b a t e						r e p r o v a r		
			u n d e r g r a v e	u n d e r m i n e						m i n a r	п о д р ы ́ т ь	
				b e t e l		b e t e l p a l m u				b é t e l e	б е т е ́ л ь	
				s t e m		j o h t o						
		s t r o m e č e k		b r a c k e t		o t t e l u j ä r j e s t y s				t a b e l a		
		v r u t		s c r e w								
		Č e r n i h o v	T j e r n i g o v	C h e r n i h i v							Ч е р н и ́ г о в	
			w i k i h o l i s m e	w i k i h o l i c			ვ ი კ ი ჰ ო ლ ი კ ი				в и к и г о ́ л и к	
				d o u b l e   p e n e t r a t i o n		k a k s o i s p e n e t r a a t i o			d o p p i a   p e n e t r a z i o n e	d u p l a   p e n e t r a ç ã o	д в о й н о е   п р о н и к н о в е ́ н и е	
				p s e u d o c r a t e r					p s e u d o c r a t e r e			
				b i d		t a r j o t a						
		l e h c e		l i g h t l y		k e v y e s t i			i n   m a n i e r a   s u p e r f i c i a l e	l e v i a n a m e n t e	с л е г к а ́	
	গ র ম	h o r k ý	v a r m	h o t	v a r m e g a	k u u m a	ც ხ ე ლ ი	ח ַ ם	c a l d o	q u e n t e	г о р я ́ ч и й	
			m a s e	s c r u n c h						a p e r t a r		
		š e p s		g e s s o		g e s s o			g e s s o			
	প া হ া ড ়	p a h o r e k	b a k k e	h i l l	a l t a ĵ o	k u m p u	ბ ო რ ც ვ ი	ת ֵ ּ ל	c o l l i n a	b a r r a n c o	п р и г о ́ р о к	k i l i m a
				a n t i l i b e r t a r i a n			ა ნ ტ ი ლ ი ბ ე რ ტ ა რ ი ა ნ უ ლ ი			a n t i l i b e r t á r i o		
		k r o u ž e k		k r o u ž e k							к р у ж о ́ к	
			f l a m m e	f l a m e		l o i m u t a			i n f i a m m a r e	i n f l a m a r	п ы л а ́ т ь	
	স া হ ি ত ্ য	l i t e r a t u r a	l i t t e r a t u r	l i t e r a t u r e	l i t e r a t u r o	k i r j a l l i s u u s	ლ ი ტ ე რ ა ტ უ რ ა	ס ִ פ ְ ר ו ּ ת	l e t t e r a t u r a	l i t e r a t u r a	л и т е р а т у ́ р а	f a s i h i
				f i b r o u s					f i b r o s o			
				p a y l o a d							б о е в а ́ я   ч а ́ с т ь	
				p a r a c h r o m a t i s m					p a r a c r o m a t i s m o			
				o s c u l u m					o s c u l o	ó s c u l o	о с к у л у м	
				r e p l a y			გ ა ნ მ ე ო რ ე ბ ი თ ი   ჩ ა ნ ა წ ე რ ი					
				s l a c k   o f f		l ö y s ä i l l ä						
			f e m t e	f i f t h		v i i d e s			q u i n t a	q u i n t a		
				h i g h   p r i e s t								K u h a n i   M k u u
				w h o l e   s h e b a n g		k o k o   h o i t o						
				d i s t r i b u t i v e		d i s t r i b u t i i v i n e n						
				t h r o w   o u t		h y l ä t ä						
				i n t e r p h a s e		i n t e r f a a s i						
				a m p h o t e r i s m						a n f o t e r i s m o	а м ф о т е ́ р н о с т ь	
		ú s e č k a	l i n j e s t y k k e	l i n e   s e g m e n t	s t r e k o	j a n a			s e g m e n t o	s e g m e n t o	о т р е ́ з о к	
