Orthography	Segments
W I T H S T A N D I N G	w ɪ θ s t æ n d ɪ ŋ
W I T H S T A N D S	w ɪ θ s t æ n d z
W I T H S T O O D	w ɪ θ s t ʊ d
W I T K I N	w ɪ t k ɪ n
W I T K O P	w ɪ t k ʌ p
W I T K O W S K I	v ɪ t k ɔ f s k i
W I T L E S S	w ɪ t l ʌ s
W I T M A N	w ɪ t m ʌ n
W I T M E R	w ɪ t m ɝ
W I T N E S S	w ɪ t n ʌ s
W I T N E S S	w ɪ t n ʌ s
W I T N E S S ' S	w ɪ t n ʌ s ɪ z
W I T N E S S E D	w ɪ t n ʌ s t
W I T N E S S E S	w ɪ t n ʌ s ʌ z
W I T N E S S E S	w ɪ t n ʌ s ɪ z
W I T N E S S E S	w ɪ t n ʌ s ɪ z
W I T N E S S I N G	w ɪ t n ʌ s ɪ ŋ
W I T O W S K I	v ɪ t ɔ f s k i
W I T S	w ɪ t s
W I T T	w ɪ t
W I T T E	w ɪ t
W I T T E D	w ɪ t ɪ d
W I T T E K I N D	w ɪ t ɪ k ɪ n d
W I T T E M A N	w ɪ t m ʌ n
W I T T E N	w ɪ t ʌ n
W I T T E N A U E R	w ɪ t ɪ n aʊ ɝ
W I T T E N B E R G	w ɪ t ʌ n b ɝ ɡ
W I T T E N B O R N	w ɪ t ɪ n b ɝ n
W I T T E N B U R G	w ɪ t ʌ n b ɝ ɡ
W I T T E N M Y E R	w ɪ t ɪ n m i ɝ
W I T T E N M Y E R	w ɪ t ɪ n m aɪ ɝ
W I T T E R	w ɪ t ɝ
W I T T E R S	w ɪ t ɝ z
W I T T E R S	w ɪ t ɝ z
W I T T H U H N	w ɪ θ ʌ n
W I T T I G	w ɪ t ɪ ɡ
W I T T I L Y	w ɪ t ʌ l i
W I T T I N G	w ɪ t ɪ ŋ
W I T T I N G L Y	w ɪ t ɪ ŋ l i
W I T T K E	w ɪ t k i
W I T T K O P P	w ɪ t k ʌ p
W I T T L E R	w ɪ t l ɝ
W I T T M A N	w ɪ t m ʌ n
W I T T M A N N	w ɪ t m ʌ n
W I T T M E R	w ɪ t m ɝ
W I T T M E Y E R	w ɪ t m aɪ ɝ
W I T T N E R	w ɪ t n ɝ
W I T T O N	w ɪ t ʌ n
W I T T R O C K	w ɪ t ɹ ʌ k
W I T T S	w ɪ t s
W I T T W E R	w ɪ t w ɝ
W I T T Y	w ɪ t i
W I T U C K I	w ɪ t ʌ k i
W I T W A T E R S R A N D	w ɪ t w ɔ t ɝ s ɹ æ n d
W I T W E R	w ɪ t w ɝ
W I T Z	w ɪ t s
W I T Z E L	w ɪ t z ʌ l
W I T Z I G	w ɪ t z ɪ ɡ
W I T Z K E	w ɪ t s k i
W I V E S	w aɪ v z
W I V E S	w aɪ v z
W I X	w ɪ k s
W I X O M	w ɪ k s ʌ m
W I X O N	w ɪ k s ʌ n
W I X S O N	w ɪ k s ʌ n
W I X T E D	w ɪ k s t ɪ d
W I Z	w ɪ z
W I Z	h w ɪ z
W I Z A R D	w ɪ z ɝ d
W I Z A R D R Y	w ɪ z ɝ d ɹ i
W I Z A R D S	w ɪ z ɝ d z
W I Z E N	w aɪ z ʌ n
W I Z E N E D	w aɪ z ʌ n d
W L O D A R C Z Y K	w ʌ l ɑ d ɝ tʃ ɪ k
W L O D A R S K I	w ʌ l ʌ d ɑ ɹ s k i
W M	w ɪ l j ʌ m
W M	d ʌ b ʌ j u ɛ m
W N E K	w n ɛ k
W N U K	w n ʌ k
W O	w oʊ
W O	h w oʊ
W O B B E	w ɑ b
W O B B L E	w ɑ b ʌ l
W O B B L E D	w ɑ b ʌ l d
W O B B L I N G	w ɑ b ʌ l ɪ ŋ
W O B B L I N G	w ɑ b l ɪ ŋ
W O B B L Y	w ɑ b ʌ l i
W O B E G O N	w oʊ b ʌ ɡ ɑ n
W O B I G	w oʊ b ɪ ɡ
W O B S T	w ɑ b s t
W O B U R N	w u b ɝ n
W O D E L	w ɔ d ʌ l
W O E	w oʊ
W O E B E G O N E	w oʊ b ɪ ɡ ɔ n
W O E F U L	w oʊ f ʌ l
W O E F U L L Y	w oʊ f ʌ l i
W O E H L	w oʊ l
W O E H L E R	w oʊ l ɝ
W O E H R	w ɔ ɹ
W O E H R L E	w ɔ ɹ ʌ l
W O E L F E L	w oʊ l f ʌ l
W O E L F L E	w oʊ l f ʌ l
W O E R N E R	w ɔ ɹ n ɝ
W O E S	w oʊ z
W O E S S N E R	w oʊ s n ɝ
W O E S T E	w oʊ s t
W O F F O R D	w ɑ f ɝ d
W O F F O R D S	w ɑ f ɝ d z
W O G A N	w oʊ ɡ ʌ n
W O G G L E	w ɔ ɡ ʌ l
W O G O M A N	w oʊ ɡ oʊ m ʌ n
W O H L	w oʊ l
W O H L E R	w oʊ l ɝ
W O H L E R S	w oʊ l ɝ z
W O H L F A R T H	w oʊ l f ɑ ɹ θ
W O H L F E I L	w oʊ l f aɪ l
W O H L F O R D	w oʊ l f ɝ d
W O H L G E M U T H	w oʊ l ɡ ʌ m u θ
W O H L S T E T T E R	w oʊ l s t ɛ t ɝ
W O H L W E N D	w oʊ l w ɛ n d
W O I T S C H A T Z K E	w ɔɪ tʃ æ t s k i
W O J A H N	w oʊ h ɑ n
W O J C I A K	w ɔɪ tʃ i æ k
W O J C I C K I	w ɔɪ tʃ ɪ t s k i
W O J C I E C H	w ɔɪ tʃ ɛ k
W O J C I E C H	v ɔɪ tʃ ɛ k
W O J C I E C H O W S K I	w ɔɪ tʃ ɪ h ɔ f s k i
W O J C I K	w ɔɪ tʃ ɪ k
W O J D Y L A	w ɔɪ d ɪ l ʌ
W O J I C K	w ɔɪ tʃ ɪ k
W O J N A R	w ɔɪ n ɝ
W O J N A R O W S K I	w ɔɪ n ɝ aʊ s k i
W O J N I L O W E R	w ɔɪ n ʌ l oʊ ɝ
W O J N O W S K I	w ɔɪ n aʊ s k i
W O J T A S	w ɔɪ t ʌ s
W O J T A S Z E K	w ɔɪ t ɑ ʃ ɛ k
W O J T K I E W I C Z	w ɔɪ t k ʌ v ɪ tʃ
W O J T K O W S K I	w ɔɪ t k aʊ s k i
W O J T O W I C Z	w ɔɪ t ʌ v ɪ tʃ
W O K	w ɑ k
W O K E	w oʊ k
W O K E N	w oʊ k ʌ n
W O K S	w ɑ k s
W O L A	w oʊ l ʌ
W O L A K	w oʊ l ʌ k
W O L A N I N	w ɑ l ʌ n ɪ n
W O L A N S K I	v ʌ l æ n s k i
W O L A V E R	w ɑ l ʌ v ɝ
W O L B E R	w oʊ l b ɝ
W O L B E R T	w oʊ l b ɝ t
W O L C O T T	w oʊ l k ʌ t
W O L D	w oʊ l d
W O L D E N	w oʊ l d ʌ n
W O L D T	w oʊ l t
W O L E N Z A C	w oʊ l ʌ n z æ k
W O L E N Z A C S	w oʊ l ʌ n z æ k s
W O L F	w ʊ l f
W O L F S	w ʊ l f s
W O L F D O G	w ʊ l f d ɔ ɡ
W O L F A R T H	w ʊ l f ɑ ɹ θ
W O L F E	w ʊ l f
W O L F E S	w ʊ l f s
W O L F E N B A R G E R	w ʊ l f ɪ n b ɑ ɹ ɡ ɝ
W O L F E N D E N	w ʊ l f ɛ n d ʌ n
W O L F E N S C H M I D T	w ʊ l f ʌ n ʃ m ɪ t
W O L F E N S O H N	w ʊ l f ʌ n s ʌ n
W O L F E R	w ʊ l f ɝ
W O L F E R T	w ʊ l f ɝ t
W O L F F	w ʊ l f
W O L F G A N G	w ʊ l f ɡ æ ŋ
W O L F G R A M	w ʊ l f ɡ ɹ æ m
W O L F I N B A R G E R	w ʊ l f ɪ n b ɑ ɹ ɡ ɝ
W O L F I N G	w ʊ l f ɪ ŋ
W O L F I N G E R	w ʊ l f ɪ ŋ ɝ
W O L F L E Y	w ʊ l f l i
W O L F M A N	w ʊ l f m ʌ n
W O L F O R D	w oʊ l f ɝ d
W O L F R A M	w ʊ l f ɹ æ m
W O L F R E Y	w ʊ l f ɹ i
W O L F R O M	w ʊ l f ɹ ʌ m
W O L F R U M	w ʊ l f ɹ ʌ m
W O L F S B U R G	w ʊ l f s b ɝ ɡ
W O L F S O N	w ʊ l f s ʌ n
W O L G A M O T T	w oʊ l ɡ ʌ m ɑ t
W O L G A S T	w oʊ l ɡ ʌ s t
W O L G E M U T H	w oʊ l ɡ ɪ m u θ
W O L I N	w oʊ l ɪ n
W O L I N S K I	v ʌ l ɪ n s k i
W O L I N S K Y	v ʌ l ɪ n s k i
W O L I T A R S K Y	w oʊ l ɪ t ɑ ɹ s k i
W O L K	w oʊ k
W O L K A N C Z I K	w ʌ l k æ ŋ k z ɪ k
W O L K A N C Z I K S	w ʌ l k æ ŋ k z ɪ k s
W O L K E	w oʊ l k
W O L K E N	w ɔ l k ʌ n
W O L K O F F	w oʊ l k ɔ f
W O L L	w ɑ l
W O L L A C K	w ɑ l ʌ k
W O L L A E G E R	w ʌ l eɪ ɡ ɝ
W O L L A M	w ɑ l ʌ m
W O L L A R D	w ɑ l ɝ d
W O L L E	w ɑ l
W O L L E N	w ɑ l ʌ n
W O L L E N B E R G	w ɑ l ʌ n b ɝ ɡ
W O L L E N W E B E R	w ɑ l ɪ n w ɪ b ɝ
W O L L E R	w ɑ l ɝ
W O L L I N	w ɑ l ɪ n
W O L L M A N	w ɑ l m ʌ n
W O L L N E R	w ɑ l n ɝ
W O L L S C H L A G E R	w ɑ l ʃ l eɪ ɡ ɝ
W O L M A N	w ɑ l m ʌ n
W O L O H A N	w ɑ l ʌ h æ n
W O L O S Z Y N	v ʌ l ɑ ʃ ɪ n
W O L P E	w oʊ l p i
W O L P E R	w oʊ l p ɝ
W O L P E R T	w oʊ l p ɝ t
W O L R A T H	w oʊ l ɹ æ θ
W O L S E Y	w oʊ l s i
W O L S F E L D	w oʊ l z f ɛ l d
W O L S K E	w oʊ l s k
W O L S K I	v oʊ l s k i
W O L S K Y	v oʊ l s k i
W O L S T E N H O L M E	w oʊ l s t ɪ n h oʊ l m
W O L T E R	w oʊ l t ɝ
W O L T E R S	w oʊ l t ɝ z
W O L T M A N	w oʊ l t m ʌ n
W O L T Z	w oʊ l t s
W O L V E N	w ʊ l v ʌ n
W O L V E R I N E	w ʊ l v ɝ i n
W O L V E R I N E S	w ʊ l v ɝ i n z
W O L V E R T O N	w ʊ l v ɝ t ʌ n
W O L V E S	w ʊ l v z
W O L Z	w oʊ l z
W O M A C	w oʊ m ʌ k
W O M A C K	w oʊ m æ k
W O M A N	w ʊ m ʌ n
W O M A N S	w ʊ m ʌ n z
W O M A N H O O D	w ʊ m ʌ n h ʊ d
W O M A N I Z E	w ʊ m ʌ n aɪ z
W O M A N I Z E R	w ʊ m ʌ n aɪ z ɝ
W O M A N I Z I N G	w ʊ m ʌ n aɪ z ɪ ŋ
W O M B	w u m
W O M B A C H E R	w ɑ m b ɑ k ɝ
W O M B A T	w ɑ m b æ t
W O M B A T S	w ɑ m b æ t s
W O M B L E	w ɑ m b ʌ l
W O M B L E S	w ɑ m b ʌ l z
W O M E N	w ɪ m ʌ n
W O M E N S	w ɪ m ʌ n z
W O M E N S	w ɪ m ʌ n z
W O M E R	w oʊ m ɝ
W O M E T C O	w oʊ m ɛ t k oʊ
W O M M A C K	w ɑ m ʌ k
W O N	w ʌ n
W O N	w ɑ n
W O N T	w oʊ n t
W O N D	w ɔ n d
W O N D A	w ɑ n d ʌ
W O N D E R	w ʌ n d ɝ
W O N D E R S	w ʌ n d ɝ z
W O N D E R E D	w ʌ n d ɝ d
W O N D E R F U L	w ʌ n d ɝ f ʌ l
W O N D E R F U L L Y	w ʌ n d ɝ f ʌ l i
W O N D E R F U L L Y	w ʌ n d ɝ f l i
W O N D E R F U L N E S S	w ʌ n d ɝ f ʌ l n ʌ s
W O N D E R I N G	w ʌ n d ɝ ɪ ŋ
W O N D E R L A N D	w ʌ n d ɝ l æ n d
W O N D E R L Y	w ʌ n d ɝ l i
W O N D E R M E N T	w ʌ n d ɝ m ʌ n t
W O N D E R S	w ʌ n d ɝ z
W O N D R A	w ɑ n d ɹ ʌ
W O N D R O U S	w ʌ n d ɹ ʌ s
W O N G	w ɔ ŋ
W O N G S	w ɔ ŋ z
W O N K	w ɑ n k
W O N K S	w ɑ n k s
W O N K S A H A C H E E	w ɑ n k s ʌ h æ tʃ i
W O N N A C O T T	w ʌ n ʌ k ɑ t
W O N T	w oʊ n t
W O O	w u
W O O S	w u z
W O O D	w ʊ d
W O O D S	w ʊ d z
W O O D A L L	w ʊ d ɔ l
W O O D A R D	w ʊ d ɝ d
W O O D B E C K	w ʊ d b ɛ k
W O O D B E R R Y	w ʊ d b ɛ ɹ i
W O O D B R I D G E	w ʊ d b ɹ ɪ dʒ
W O O D B U R N	w ʊ d b ɝ n
W O O D B U R Y	w ʊ d b ɛ ɹ i
W O O D B Y	w ʊ d b i
W O O D C A R V E R	w ʊ d k ɑ ɹ v ɝ
W O O D C A R V E R S	w ʊ d k ɑ ɹ v ɝ z
W O O D C H I P	w ʊ d tʃ ɪ p
W O O D C H I P S	w ʊ d tʃ ɪ p s
W O O D C H U C K	w ʊ d tʃ ʌ k
W O O D C H U C K S	w ʊ d tʃ ʌ k s
W O O D C L I F F	w ʊ d k l ɪ f
W O O D C O C K	w ʊ d k ɑ k
W O O D C O X	w ʊ d k ɑ k s
W O O D D E L L	w ʊ d ʌ l
W O O D E D	w ʊ d ɪ d
W O O D E L L	w ʊ d ʌ l
W O O D E N	w ʊ d ʌ n
W O O D F I E L D	w ʊ d f i l d
W O O D F I L L	w ʊ d f ɪ l
W O O D F I N	w ʊ d f ɪ n
W O O D F O R D	w ʊ d f ɝ d
W O O D F O R K	w ʊ d f ɝ k
W O O D H A L L	w ʊ d h ɔ l
W O O D H A M	w ʊ d h ʌ m
W O O D H A M S	w ʊ d h ʌ m z
W O O D H E A D	w ʊ d h ɛ d
W O O D H O U S E	w ʊ d h aʊ s
W O O D H U L L	w ʊ d h ʌ l
W O O D I E	w ʊ d i
W O O D I N	w ʊ d ɪ n
W O O D I N G	w ʊ d ɪ ŋ
W O O D I N G T O N	w ʊ d ɪ ŋ t ʌ n
W O O D I S	w ʊ d ɪ s
W O O D K E	w ʊ d k i
W O O D L A N D	w ʊ d l æ n d
W O O D L A N D	w ʊ d l ʌ n d
W O O D L A N D S	w ʊ d l æ n d z
W O O D L A N D S	w ʊ d l ʌ n d z
W O O D L E	w ʊ d ʌ l
W O O D L E E	w ʊ d l i
W O O D L E Y	w ʊ d l i
W O O D L I E F	w ʊ d l i f
W O O D L I F F	w ʊ d l ɪ f
W O O D L I N G	w ʊ d l ɪ ŋ
W O O D L O C K	w ʊ d l ɑ k
W O O D L O T	w ʊ d l ɑ t
W O O D M A C	w ʊ d m æ k
W O O D M A N	w ʊ d m ʌ n
W O O D M A N S E E	w ʊ d m ʌ n s i
W O O D P E C K E R	w ʊ d p ɛ k ɝ
W O O D P E C K E R S	w ʊ d p ɛ k ɝ z
W O O D P I L E	w ʊ d p aɪ l
W O O D P I L E S	w ʊ d p aɪ l z
W O O D R I C H	w ʊ d ɹ ɪ tʃ
W O O D R I C K	w ʊ d ɹ ɪ k
W O O D R I N G	w ʊ d ɹ ɪ ŋ
W O O D R O M E	w ʊ d ɹ ʌ m
W O O D R O O F	w ʊ d ɹ u f
W O O D R O W	w ʊ d ɹ oʊ
W O O D R U F F	w ʊ d ɹ ʌ f
W O O D R U M	w ʊ d ɹ ʌ m
W O O D S	w ʊ d z
W O O D S H E D	w ʊ d ʃ ɛ d
W O O D S H E D S	w ʊ d ʃ ɛ d z
W O O D S I D E	w ʊ d s aɪ d
W O O D S M A L L	w ʊ d s m ɔ l
W O O D S M A N	w ʊ d z m æ n
W O O D S M E N	w ʊ d z m ʌ n
W O O D S M E N S	w ʊ d z m ʌ n z
W O O D S O N	w ʊ d s ʌ n
W O O D S O N S	w ʊ d s ʌ n z
W O O D S T O C K	w ʊ d s t ɑ k
W O O D S T R E A M	w ʊ d s t ɹ i m
W O O D W A R D	w ʊ d w ɔ ɹ d
W O O D W A R D	w ʊ d w ɝ d
W O O D W A R D S	w ʊ d w ɝ d z
W O O D W I N D	w ʊ d w ɪ n d
W O O D W I N D S	w ʊ d w ɪ n d z
W O O D W I N D S	w ʊ d w ɪ n d z
W O O D W O R K	w ʊ d w ɝ k
W O O D W O R K E R	w ʊ d w ɝ k ɝ
W O O D W O R K E R S	w ʊ d w ɝ k ɝ z
W O O D W O R K I N G	w ʊ d w ɝ k ɪ ŋ
W O O D W O R T H	w ʊ d w ɝ θ
W O O D Y	w ʊ d i
W O O D Y S	w ʊ d i z
W O O D Y A R D	w ʊ d j ɑ ɹ d
W O O E D	w u d
W O O F	w u f
W O O F E R	w ʊ f ɝ
W O O F E R S	w ʊ f ɝ z
W O O F T E R	w u f t ɝ
W O O G I E	w u ɡ i
W O O G I E	w ʊ ɡ i
W O O I N G	w u ɪ ŋ
W O O L	w ʊ l
W O O L A R D	w ʊ l ɝ d
W O O L B R I G H T	w ʊ l b ɹ aɪ t
W O O L C O	w ʊ l k oʊ
W O O L C O C K	w ʊ l k ɑ k
W O O L D R I D G E	w ʊ l d ɹ ɪ dʒ
W O O L E N	w ʊ l ʌ n
W O O L E N S	w ʊ l ʌ n z
W O O L E R Y	w ʊ l ɝ i
W O O L E V E R	w ʊ l ɛ v ɝ
W O O L E Y	w ʊ l i
W O O L F	w ʊ l f
W O O L F O L K	w ʊ l f oʊ k
W O O L F O R D	w ʊ l f ɝ d
W O O L F O R K	w ʊ l f ɔ ɹ k
W O O L L A R D	w ʊ l ɝ d
W O O L L C O T T	w ʊ l k ɑ t
W O O L L E N	w ʊ l ʌ n
W O O L L E Y	w ʊ l i
W O O L L Y	w ʊ l i
W O O L M A N	w ʊ l m ʌ n
W O O L R I D G E	w ʊ l ɹ ɪ dʒ
W O O L S	w ʊ l z
W O O L S E Y	w ʊ l z i
W O O L S E Y S	w ʊ l z i z
W O O L S O N	w ʊ l s ʌ n
W O O L S T O N	w ʊ l s t ʌ n
W O O L U M	w ʊ l ʌ m
W O O L U M S	w ʊ l ʌ m z
W O O L V E R T O N	w ʊ l v ɝ t ʌ n
W O O L W I N E	w ʊ l w aɪ n
W O O L W O R T H	w ʊ l w ɝ θ
W O O L W O R T H S	w ʊ l w ɝ θ s
W O O L Y	w ʊ l i
W O O M E R	w u m ɝ
W O O N G	w u ŋ
W O O S	w u z
W O O S L E Y	w u z l i
W O O S T E R	w u s t ɝ
W O O T A N	w u t ʌ n
W O O T E N	w u t ʌ n
W O O T E R S	w u t ɝ z
W O O T O N	w u t ʌ n
W O O T T E N	w u t ʌ n
W O O T T O N	w u t ʌ n
W O O Z Y	w u z i
W O P	w ɑ p
W O P S	w ɑ p s
W O R	w ɔ ɹ
W O R	d ʌ b ɛ l j u oʊ ɑ ɹ
W O R	d ʌ b ʌ j u oʊ ɑ ɹ
W O R C E S T E R	w ʊ s t ɝ
W O R C E S T E R S H I R E	w ʊ s t ʌ ʃ ɝ
W O R D	w ɝ d
W O R D S	w ɝ d z
W O R D E D	w ɝ d ɪ d
W O R D E L L	w ɝ d ʌ l
W O R D E N	w ɝ d ʌ n
W O R D I N G	w ɝ d ɪ ŋ
W O R D L E S S	w ɝ d l ʌ s
W O R D P E R F E C T	w ɝ d p ɝ f ɛ k t
W O R D S	w ɝ d z
W O R D S	w ɝ d z
W O R D S M I T H	w ɝ d s m ɪ θ
W O R D S T A R	w ɝ d s t ɑ ɹ
W O R D S W O R T H	w ɝ d z w ɝ θ
W O R D Y	w ɝ d i
W O R E	w ɔ ɹ
W O R K	w ɝ k
W O R K S	w ɝ k s
W O R K A B L E	w ɝ k ʌ b ʌ l
W O R K A D A Y	w ɝ k ʌ d eɪ
W O R K A H O L I C	w ɝ k ʌ h ɑ l ɪ k
W O R K A H O L I C S	w ɝ k ʌ h ɑ l ɪ k s
W O R K B E N C H	w ɝ k b ɛ n tʃ
W O R K B O O K	w ɝ k b ʊ k
W O R K B O O K S	w ɝ k b ʊ k s
W O R K D A Y	w ɝ k d eɪ
W O R K D A Y S	w ɝ k d eɪ z
W O R K E D	w ɝ k t
W O R K E R	w ɝ k ɝ
W O R K E R S	w ɝ k ɝ z
W O R K E R S	w ɝ k ɝ z
W O R K E R S	w ɝ k ɝ z
W O R K F A R E	w ɝ k f ɛ ɹ
W O R K F L O W	w ɝ k f l oʊ
W O R K F L O W S	w ɝ k f l oʊ z
W O R K F O R C E	w ɝ k f ɔ ɹ s
W O R K G R O U P	w ɝ k ɡ ɹ u p
W O R K G R O U P S	w ɝ k ɡ ɹ u p s
W O R K H O R S E	w ɝ k h ɔ ɹ s
W O R K H O R S E S	w ɝ k h ɔ ɹ s ɪ z
W O R K I N	w ɝ k ʌ n
W O R K I N G	w ɝ k ɪ ŋ
W O R K I N G E R	w ɝ k ɪ ŋ ɝ
W O R K I N G S	w ɝ k ɪ ŋ z
W O R K L O A D	w ɝ k l oʊ d
W O R K L O A D S	w ɝ k l oʊ d z
W O R K M A N	w ɝ k m ʌ n
W O R K M A N S	w ɝ k m ʌ n z
W O R K M A N L I K E	w ɝ k m æ n l aɪ k
W O R K M A N S H I P	w ɝ k m ʌ n ʃ ɪ p
W O R K M E N	w ɝ k m ɪ n
W O R K M E N S	w ɝ k m ʌ n z
W O R K O U T	w ɝ k aʊ t
W O R K O U T S	w ɝ k aʊ t s
W O R K P L A C E	w ɝ k p l eɪ s
W O R K P L A C E S	w ɝ k p l eɪ s ɪ z
W O R K R O O M	w ɝ k ɹ u m
W O R K S	w ɝ k s
W O R K S	w ɝ k s
W O R K S H E E T	w ɝ k ʃ i t
W O R K S H E E T S	w ɝ k ʃ i t s
W O R K S H O P	w ɝ k ʃ ɑ p
W O R K S H O P S	w ɝ k ʃ ɑ p s
W O R K S T A T I O N	w ɝ k s t eɪ ʃ ʌ n
W O R K S T A T I O N S	w ɝ k s t eɪ ʃ ʌ n z
W O R K W E E K	w ɝ k w i k
W O R K W E E K S	w ɝ k w i k s
W O R L A N D	w ɝ l ʌ n d
W O R L C O	w ɝ l k oʊ
W O R L D	w ɝ l d
W O R L D S	w ɝ l d z
W O R L D C L A S S	w ɝ l d k l æ s
W O R L D C O M	w ɝ l d k ɑ m
W O R L D C O R P	w ɝ l d k ɔ ɹ p
W O R L D E R	w ɝ l d ɝ
W O R L D E R S	w ɝ l d ɝ z
W O R L D L I N E S S	w ɝ l d l i n ʌ s
W O R L D L Y	w ɝ l d l i
W O R L D N E W S	w ɝ l d n u z
W O R L D P A S S	w ɝ l d p æ s
W O R L D S	w ɝ l d z
W O R L D S C O P E	w ɝ l d s k oʊ p
W O R L D S P A N	w ɝ l d s p æ n
W O R L D V I E W	w ɝ l d v j u
W O R L D V I S I O N	w ɝ l d v ɪ ʒ ʌ n
W O R L D W I D E	w ɝ l d w aɪ d
W O R L D W I D E S	w ɝ l d w aɪ d z
W O R L E Y	w ɝ l i
W O R M	w ɝ m
W O R M S	w ɝ m z
W O R M A N	w ɝ m ʌ n
W O R M H O L E	w ɝ m h ɔ l
W O R M H O L E S	w ɝ m h ɔ l z
W O R M I N G T O N	w ɝ m ɪ ŋ t ʌ n
W O R M L E Y	w ɝ m l i
W O R M L I K E	w ɝ m l aɪ k
W O R M S	w ɝ m z
W O R M S E R	w ɝ m z ɝ
W O R M U T H	w ɝ m u θ
W O R M W O O D	w ɝ m w ʊ d
W O R N	w ɔ ɹ n
W O R N E R	w ɔ ɹ n ɝ
W O R O N O F F	w ɔ ɹ ʌ n ɔ f
W O R R A L L	w ɝ ɹ ʌ l
W O R R E L	w ɝ ɹ ʌ l
W O R R E L L	w ɝ ɹ ʌ l
W O R R I E D	w ɝ i d
W O R R I E R	w ɝ i ɝ
W O R R I E R S	w ɝ i ɝ z
W O R R I E S	w ɝ i z
W O R R I S O M E	w ɝ i s ʌ m
W O R R Y	w ɝ i
W O R R Y I N G	w ɝ i ɪ ŋ
W O R S E	w ɝ s
W O R S E C K	w ɝ s ɛ k
W O R S E C K	w ɔ ɹ s ɛ k
W O R S E N	w ɝ s ʌ n
W O R S E N E D	w ɝ s ʌ n d
W O R S E N I N G	w ɝ s ʌ n ɪ ŋ
W O R S E N I N G	w ɝ s n ɪ ŋ
W O R S E N S	w ɝ s ʌ n z
W O R S H A M	w ɝ ʃ ʌ m
W O R S H I P	w ɝ ʃ ʌ p
W O R S H I P	w ɝ ʃ ɪ p
W O R S H I P E D	w ɝ ʃ ɪ p t
W O R S H I P E R	w ɝ ʃ ʌ p ɝ
W O R S H I P E R S	w ɝ ʃ ɪ p ɝ z
W O R S H I P F U L	w ɝ ʃ ʌ p f ʌ l
W O R S H I P I N G	w ɝ ʃ ʌ p ɪ ŋ
W O R S H I P P E D	w ɝ ʃ ʌ p t
W O R S H I P P E R S	w ɝ ʃ ɪ p ɝ z
W O R S H I P P I N G	w ɝ ʃ ʌ p ɪ ŋ
W O R S H I P S	w ɝ ʃ ʌ p s
W O R S L E Y	w ɝ s l i
W O R S T	w ɝ s t
W O R S T C A S E	w ɝ s t k eɪ s
W O R S T E D	w ɝ s t ɪ d
W O R S T E L L	w ɝ s t ʌ l
W O R S T E R	w ɝ s t ɝ
W O R T H	w ɝ θ
W O R T H S	w ɝ θ s
W O R T H A M	w ɝ θ ʌ m
W O R T H E N	w ɝ θ ʌ n
W O R T H E N S	w ɝ θ ʌ n z
W O R T H E Y	w ɝ ð i
W O R T H I E R	w ɝ ð i ɝ
W O R T H I E S	w ɝ ð i z
W O R T H I E S T	w ɝ ð i ʌ s t
W O R T H I N E S S	w ɝ ð i n ɪ s
W O R T H I N G	w ɝ θ ɪ ŋ
W O R T H I N G T O N	w ɝ ð ɪ ŋ t ʌ n
W O R T H L E S S	w ɝ θ l ʌ s
W O R T H L E Y	w ɝ θ l i
W O R T H M A N	w ɝ θ m ʌ n
W O R T H O G	w ɔ ɹ t h ɔ ɡ
W O R T H S	w ɝ θ s
W O R T H W H I L E	w ɝ θ w aɪ l
W O R T H Y	w ɝ ð i
W O R T L E Y	w ɝ t l i
W O R T M A N	w ɝ t m ʌ n
W O R T M A N N	w ɝ t m ʌ n
W O R T O N	w ɝ t ʌ n
W O R T S	w ɝ t s
W O T A N	w oʊ t ʌ n
W O T H E R S P O O N	w ʌ ð ɝ s p u n
W O T R I N G	w ɑ t ɝ ɪ ŋ
W O T T O N	w ɑ t ʌ n
W O U K	w u k
W O U K	w oʊ k
W O U L D	w ʊ d
W O U L D V E	w ʊ d ʌ v
W O U L D N T	w ʊ d ʌ n t
W O U L F E	w aʊ l f
W O U N D	w aʊ n d
W O U N D	w u n d
W O U N D E D	w u n d ɪ d
W O U N D I N G	w u n d ɪ ŋ
W O U N D S	w u n d z
W O U T E R S	w aʊ t ɝ z
W O V E	w oʊ v
W O V E N	w oʊ v ʌ n
W O W	w aʊ
W O W S	w aʊ z
W O W E D	w aʊ d
W O W I E	w aʊ i
W O W I N G	w aʊ ɪ ŋ
W O W S	w aʊ z
W O Y	w ɔɪ
W O Z N I A K	v ɑ z n i æ k
W O Z N I C K	w ɑ z n ɪ k
W O Z N I C K I	v ʌ z n ɪ t s k i
W O Z N Y	w ɑ z n i
W R A C K	ɹ æ k
W R A C K E D	ɹ æ k t
W R A C K I N G	ɹ æ k ɪ ŋ
W R A G E	ɹ eɪ dʒ
W R A G G	ɹ æ ɡ
W R A N D E L L	ɹ æ ŋ d ɛ l
W R A N G E L L	ɹ æ ŋ ɡ ʌ l
W R A N G L E	ɹ æ ŋ ɡ ʌ l
W R A N G L E D	ɹ æ ŋ ɡ ʌ l d
W R A N G L E R	ɹ æ ŋ ɡ ʌ l ɝ
W R A N G L E R	ɹ æ ŋ ɡ l ɝ
W R A N G L E R S	ɹ æ ŋ ɡ ʌ l ɝ z
W R A N G L E R S	ɹ æ ŋ ɡ l ɝ z
